time,height,speed,acceleration
1.43,298.2429,360.87719,0
1.44,298.2429,360.81157,-6.59481
1.45,298.2429,360.68033,-21.45774
1.46,298.2429,360.48347,-24.73874
1.47,314.51666,360.22099,-29.69305
1.48,314.51666,359.89289,-33.00686
1.49,314.51666,359.53198,-41.24217
1.5,314.51666,359.13826,-46.19648
1.51,314.51666,358.71173,-46.19648
1.52,331.381,358.2852,-39.60167
1.53,331.381,357.82586,-46.19648
1.54,331.381,357.36652,-47.83698
1.54,331.381,357.36652,-47.83698
1.55,331.381,356.87437,-49.51029
1.56,331.381,356.41503,-46.19648
1.57,356.38222,355.92288,-51.15079
1.58,356.38222,355.46354,-44.55598
1.59,356.38222,354.93858,-46.19648
1.6,356.38222,354.44643,-52.79129
1.61,356.38222,353.92147,-57.7456
1.62,372.7216,353.39651,-57.7456
1.62,372.7216,353.39651,-57.7456
1.63,372.7216,352.87155,-52.79129
1.64,372.7216,352.31378,-49.51029
1.65,372.7216,351.78882,-46.19648
1.65,372.7216,351.78882,-46.19648
1.66,372.7216,351.26386,-56.1051
1.67,390.73429,350.7389,-57.7456
1.68,390.73429,350.21394,-59.3861
1.69,390.73429,349.68898,-47.83698
1.7,390.73429,349.16402,-46.19648
1.71,390.73429,348.67187,-49.51029
1.72,399.72423,348.17972,-44.55598
1.73,399.72423,347.68757,-51.15079
1.74,399.72423,347.19542,-52.79129
1.75,399.72423,346.70327,-49.51029
1.76,399.72423,346.21112,-51.15079
1.77,418.88527,345.71897,-42.91548
1.78,418.88527,345.22682,-49.51029
1.79,418.88527,344.73467,-51.15079
1.8,418.88527,344.24252,-49.51029
1.81,418.88527,343.75037,-49.51029
1.82,432.69828,343.25822,-51.15079
1.83,432.69828,342.76607,-49.51029
1.84,432.69828,342.27392,-51.15079
1.84,432.69828,342.27392,-51.15079
1.84,432.69828,342.27392,-51.15079
1.84,432.69828,342.27392,-51.15079
1.84,432.69828,342.27392,-51.15079
1.84,432.69828,342.27392,-51.15079
1.85,432.69828,341.78177,-41.24217
1.86,432.69828,341.28962,-54.4646
1.87,453.82792,340.83028,-46.19648
1.88,453.82792,340.33813,-49.51029
1.89,453.82792,339.84598,-47.83698
1.9,453.82792,339.35383,-44.55598
1.91,453.82792,338.86168,-49.51029
1.92,470.4954,338.33672,-57.7456
1.93,470.4954,337.81176,-56.1051
1.94,470.4954,337.2868,-51.15079
1.94,470.4954,337.2868,-51.15079
1.95,470.4954,336.76184,-49.51029
1.96,470.4954,336.23688,-54.4646
1.97,488.27842,335.71192,-49.51029
1.98,488.27842,335.18696,-52.79129
1.99,488.27842,334.662,-54.4646
2,488.27842,334.16985,-49.51029
2.01,488.27842,333.64489,-59.3861
2.02,506.9145,333.11993,-44.55598
2.03,506.9145,332.62778,-49.51029
2.04,506.9145,332.10282,-49.51029
2.05,506.9145,331.61067,-49.51029
2.06,506.9145,331.11852,-54.4646
2.07,523.84446,330.62637,-46.19648
2.08,523.84446,330.13422,-47.83698
2.09,523.84446,329.67488,-49.51029
2.1,523.84446,329.18273,-42.91548
2.11,523.84446,328.69058,-44.55598
2.12,543.62889,328.19843,-59.3861
2.13,543.62889,327.70628,-47.83698
2.14,543.62889,327.21413,-51.15079
2.15,543.62889,326.72198,-47.83698
2.16,543.62889,326.26264,-42.91548
2.17,555.8014,325.77049,-47.83698
2.18,555.8014,325.31115,-49.51029
2.19,555.8014,324.819,-47.83698
2.2,555.8014,324.32685,-47.83698
2.21,555.8014,323.8347,-52.79129
2.22,566.00531,323.34255,-49.51029
2.23,566.00531,322.8504,-47.83698
2.24,566.00531,322.32544,-56.1051
2.25,566.00531,321.83329,-47.83698
2.26,566.00531,321.37395,-44.55598
2.26,566.00531,321.37395,-44.55598
2.27,585.78974,320.8818,-46.19648
2.28,585.78974,320.42246,-49.51029
2.29,585.78974,319.96312,-42.91548
2.3,585.78974,319.47097,-42.91548
2.31,585.78974,319.01163,-57.7456
2.32,595.99365,318.51948,-46.19648
2.33,595.99365,318.02733,-46.19648
2.34,595.99365,317.56799,-46.19648
2.35,595.99365,317.07584,-51.15079
2.36,595.99365,316.6165,-46.19648
2.37,612.43146,316.15716,-44.55598
2.38,612.43146,315.69782,-44.55598
2.39,612.43146,315.23848,-46.19648
2.4,612.43146,314.77914,-46.19648
2.41,612.43146,314.3198,-44.55598
2.42,629.42704,313.86046,-49.51029
2.43,629.42704,313.36831,-46.19648
2.44,629.42704,312.90897,-46.19648
2.45,629.42704,312.41682,-51.15079
2.46,629.42704,311.95748,-44.55598
2.47,654.95322,311.46533,-49.51029
2.48,654.95322,310.97318,-54.4646
2.49,654.95322,310.44822,-49.51029
2.5,654.95322,309.95607,-51.15079
2.51,654.95322,309.46392,-46.19648
2.52,665.15713,309.00458,-47.83698
2.53,665.15713,308.51243,-47.83698
2.54,665.15713,308.05309,-46.19648
2.55,665.15713,307.56094,-46.19648
2.56,665.15713,307.1016,-47.83698
2.57,679.36386,306.60945,-46.19648
2.58,679.36386,306.15011,-49.51029
2.58,679.36386,306.15011,-49.51029
2.59,679.36386,305.65796,-51.15079
2.6,679.36386,305.16581,-47.83698
2.61,679.36386,304.67366,-46.19648
2.62,693.83307,304.18151,-51.15079
2.63,693.83307,303.68936,-52.79129
2.64,693.83307,303.19721,-47.83698
2.65,693.83307,302.70506,-46.19648
2.66,693.83307,302.24572,-47.83698
2.67,702.36367,301.75357,-46.19648
2.68,702.36367,301.29423,-44.55598
2.69,702.36367,300.83489,-51.15079
2.7,702.36367,300.34274,-47.83698
2.71,702.36367,299.8834,-52.79129
2.72,715.15957,299.42406,-39.60167
2.73,715.15957,298.96472,-41.24217
2.74,715.15957,298.53819,-46.19648
2.75,715.15957,298.07885,-44.55598
2.76,715.15957,297.65232,-37.96117
2.77,736.19078,297.19298,-51.15079
2.78,736.19078,296.76645,-42.91548
2.79,736.19078,296.30711,-42.91548
2.8,736.19078,295.88058,-42.91548
2.81,736.19078,295.42124,-47.83698
2.82,743.60584,294.99471,-44.55598
2.83,743.60584,294.53537,-42.91548
2.84,743.60584,294.10884,-44.55598
2.85,743.60584,293.6495,-44.55598
2.85,743.60584,293.6495,-44.55598
2.85,743.60584,293.6495,-44.55598
2.85,743.60584,293.6495,-44.55598
2.85,743.60584,293.6495,-44.55598
2.85,743.60584,293.6495,-44.55598
2.86,743.60584,293.19016,-44.55598
2.87,765.7854,292.73082,-46.19648
2.88,765.7854,292.30429,-49.51029
2.89,765.7854,291.84495,-41.24217
2.9,765.7854,291.38561,-44.55598
2.9,765.7854,291.38561,-44.55598
2.91,765.7854,290.92627,-44.55598
2.92,780.32023,290.49974,-49.51029
2.93,780.32023,290.07321,-41.24217
2.94,780.32023,289.61387,-39.60167
2.95,780.32023,289.18734,-42.91548
2.96,780.32023,288.76081,-44.55598
2.97,791.11472,288.30147,-41.24217
2.98,791.11472,287.84213,-51.15079
2.99,791.11472,287.38279,-49.51029
3,791.11472,286.92345,-44.55598
3.01,791.11472,286.46411,-44.55598
3.02,810.80072,286.03758,-44.55598
3.03,810.80072,285.57824,-42.91548
3.04,810.80072,285.1189,-44.55598
3.05,810.80072,284.69237,-46.19648
3.06,810.80072,284.26584,-44.55598
3.07,826.45109,283.8065,-41.24217
3.08,826.45109,283.37997,-41.24217
3.09,826.45109,282.92063,-47.83698
