# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
2.443,644.801,299.499,-42.462
2.453,647.793,299.074,-42.451
2.463,650.782,298.65,-42.441
2.473,653.766,298.225,-42.434
2.483,656.747,297.801,-42.429
2.493,659.723,297.377,-42.425
2.503,662.694,296.953,-42.423
2.513,665.662,296.528,-42.421
2.523,668.625,296.104,-42.42
2.533,671.584,295.68,-42.419
2.543,674.538,295.256,-42.417
2.553,677.489,294.832,-42.414
2.563,680.435,294.408,-42.409
2.573,683.377,293.984,-42.401
2.583,686.315,293.56,-42.39
2.593,689.248,293.136,-42.375
2.603,692.177,292.712,-42.356
2.613,695.102,292.289,-42.333
2.623,698.023,291.865,-42.305
2.633,700.94,291.443,-42.272
2.643,703.852,291.02,-42.236
2.653,706.76,290.598,-42.194
2.663,709.664,290.176,-42.149
2.673,712.564,289.755,-42.101
2.683,715.459,289.334,-42.049
2.693,718.35,288.914,-41.995
2.703,721.237,288.494,-41.939
2.713,724.12,288.075,-41.881
2.723,726.999,287.657,-41.823
2.733,729.873,287.239,-41.765
2.743,732.744,286.821,-41.707
2.753,735.61,286.405,-41.651
2.763,738.472,285.988,-41.595
2.773,741.329,285.573,-41.541
2.783,744.183,285.157,-41.488
2.793,747.033,284.743,-41.437
2.803,749.878,284.329,-41.388
2.813,752.719,283.915,-41.341
2.823,755.556,283.502,-41.296
2.833,758.389,283.089,-41.254
2.843,761.218,282.677,-41.213
2.853,764.043,282.265,-41.175
2.863,766.863,281.853,-41.139
2.873,769.68,281.442,-41.105
2.883,772.492,281.031,-41.073
2.893,775.3,280.621,-41.044
2.903,778.105,280.21,-41.016
2.913,780.905,279.8,-40.99
2.923,783.701,279.391,-40.967
2.933,786.492,278.981,-40.945
2.943,789.28,278.572,-40.925
2.953,792.064,278.162,-40.907
2.963,794.844,277.753,-40.891
2.973,797.619,277.345,-40.876
2.983,800.39,276.936,-40.864
2.993,803.158,276.527,-40.852
3.003,805.921,276.119,-40.843
3.013,808.68,275.71,-40.834
3.023,811.435,275.302,-40.827
3.033,814.186,274.894,-40.82
3.043,816.933,274.486,-40.814
3.053,819.676,274.078,-40.808
3.063,822.415,273.67,-40.802
3.073,825.149,273.262,-40.797
3.083,827.88,272.854,-40.79
3.093,830.606,272.446,-40.783
3.103,833.329,272.038,-40.775
3.113,836.047,271.63,-40.764
3.123,838.761,271.223,-40.752
3.133,841.472,270.815,-40.738
3.143,844.178,270.408,-40.721
3.153,846.88,270.001,-40.701
3.163,849.578,269.594,-40.679
3.173,852.272,269.187,-40.653
3.183,854.961,268.781,-40.625
3.193,857.647,268.375,-40.594
3.203,860.329,267.969,-40.56
3.213,863.007,267.564,-40.524
3.223,865.68,267.159,-40.485
3.233,868.35,266.754,-40.445
3.243,871.015,266.35,-40.403
3.253,873.677,265.946,-40.359
3.263,876.334,265.543,-40.314
3.273,878.988,265.14,-40.269
3.283,881.637,264.737,-40.223
3.293,884.282,264.335,-40.177
3.303,886.924,263.934,-40.131
3.313,889.561,263.533,-40.086
3.323,892.194,263.132,-40.042
3.333,894.824,262.732,-39.998
3.343,897.449,262.332,-39.955
3.353,900.07,261.933,-39.914
3.363,902.688,261.534,-39.873
3.373,905.301,261.135,-39.834
3.383,907.91,260.737,-39.796
3.393,910.516,260.339,-39.76
3.403,913.117,259.942,-39.725
3.413,915.715,259.545,-39.692
3.423,918.308,259.148,-39.66
3.433,920.898,258.751,-39.63
3.443,923.483,258.355,-39.601
3.453,926.065,257.959,-39.574
3.463,928.642,257.564,-39.548
3.473,931.216,257.168,-39.523
3.483,933.786,256.773,-39.501
3.493,936.351,256.378,-39.479
3.503,938.913,255.984,-39.459
3.513,941.471,255.589,-39.44
3.523,944.025,255.195,-39.423
3.533,946.575,254.801,-39.406
3.543,949.121,254.407,-39.391
3.553,951.663,254.013,-39.377
3.563,954.201,253.619,-39.365
3.573,956.735,253.226,-39.353
3.583,959.266,252.832,-39.342
3.593,961.792,252.439,-39.332
3.603,964.315,252.046,-39.323
3.613,966.833,251.652,-39.314
3.623,969.348,251.259,-39.305
3.633,971.858,250.866,-39.297
3.643,974.365,250.473,-39.289
3.653,976.868,250.081,-39.281
3.663,979.367,249.688,-39.273
3.673,981.861,249.295,-39.264
3.683,984.352,248.902,-39.254
3.693,986.839,248.51,-39.244
3.703,989.323,248.118,-39.233
3.713,991.802,247.725,-39.221
3.723,994.277,247.333,-39.207
3.733,996.748,246.941,-39.192
3.743,999.216,246.549,-39.175
3.753,1001.679,246.158,-39.156
3.763,1004.139,245.766,-39.136
3.773,1006.595,245.375,-39.113
3.783,1009.047,244.984,-39.089
3.793,1011.494,244.593,-39.064
3.803,1013.938,244.203,-39.036
3.813,1016.379,243.813,-39.007
3.823,1018.815,243.423,-38.977
3.833,1021.247,243.033,-38.945
3.843,1023.675,242.644,-38.912
3.853,1026.1,242.255,-38.878
3.863,1028.52,241.866,-38.843
3.873,1030.937,241.478,-38.808
3.883,1033.35,241.09,-38.772
3.893,1035.759,240.702,-38.736
3.903,1038.164,240.315,-38.7
3.913,1040.565,239.928,-38.664
3.923,1042.963,239.542,-38.628
3.933,1045.356,239.156,-38.592
3.943,1047.746,238.77,-38.557
3.953,1050.132,238.385,-38.523
3.963,1052.513,238,-38.489
3.973,1054.892,237.615,-38.456
3.983,1057.266,237.231,-38.423
3.993,1059.636,236.846,-38.392
4.003,1062.003,236.463,-38.361
4.013,1064.365,236.079,-38.331
4.023,1066.724,235.696,-38.302
4.033,1069.079,235.313,-38.274
4.043,1071.431,234.931,-38.247
4.053,1073.778,234.548,-38.222
4.063,1076.122,234.166,-38.197
4.073,1078.461,233.784,-38.173
4.083,1080.797,233.403,-38.15
4.093,1083.129,233.021,-38.128
4.103,1085.458,232.64,-38.108
4.113,1087.782,232.259,-38.088
4.123,1090.103,231.878,-38.069
4.133,1092.42,231.498,-38.051
4.143,1094.733,231.117,-38.034
4.153,1097.042,230.737,-38.018
4.163,1099.348,230.357,-38.003
4.173,1101.649,229.977,-37.988
4.183,1103.947,229.597,-37.975
4.193,1106.241,229.218,-37.962
4.203,1108.531,228.838,-37.95
4.213,1110.818,228.459,-37.938
4.223,1113.101,228.079,-37.927
4.233,1115.379,227.7,-37.917
4.243,1117.655,227.321,-37.907
4.253,1119.926,226.942,-37.897
4.263,1122.193,226.563,-37.887
4.273,1124.457,226.184,-37.878
4.283,1126.717,225.805,-37.869
4.293,1128.973,225.427,-37.86
4.303,1131.226,225.048,-37.85
4.313,1133.474,224.67,-37.841
4.323,1135.719,224.291,-37.831
4.333,1137.96,223.913,-37.821
4.343,1140.197,223.535,-37.811
4.353,1142.431,223.157,-37.8
4.363,1144.66,222.779,-37.788
4.373,1146.886,222.401,-37.775
4.383,1149.108,222.023,-37.762
4.393,1151.327,221.646,-37.748
4.403,1153.541,221.268,-37.732
4.413,1155.752,220.891,-37.716
4.423,1157.959,220.514,-37.699
4.433,1160.162,220.137,-37.68
4.443,1162.362,219.761,-37.661
4.453,1164.558,219.384,-37.64
4.463,1166.75,219.008,-37.618
4.473,1168.938,218.632,-37.596
4.483,1171.122,218.256,-37.572
4.493,1173.303,217.88,-37.548
4.503,1175.48,217.505,-37.523
4.513,1177.653,217.13,-37.497
4.523,1179.822,216.755,-37.47
4.533,1181.988,216.38,-37.443
4.543,1184.15,216.006,-37.416
4.553,1186.308,215.632,-37.388
4.563,1188.463,215.258,-37.36
4.573,1190.613,214.885,-37.332
4.583,1192.76,214.512,-37.304
4.593,1194.904,214.139,-37.275
4.603,1197.043,213.766,-37.247
4.613,1199.179,213.394,-37.219
4.623,1201.311,213.022,-37.192
4.633,1203.439,212.65,-37.164
4.643,1205.564,212.279,-37.137
4.653,1207.685,211.907,-37.111
4.663,1209.802,211.536,-37.084
4.673,1211.916,211.166,-37.059
4.683,1214.026,210.795,-37.033
4.693,1216.132,210.425,-37.009
4.703,1218.234,210.055,-36.985
4.713,1220.333,209.685,-36.961
4.723,1222.428,209.316,-36.938
4.733,1224.519,208.946,-36.916
4.743,1226.607,208.577,-36.894
4.753,1228.691,208.209,-36.873
4.763,1230.771,207.84,-36.853
4.773,1232.847,207.472,-36.833
4.783,1234.92,207.103,-36.814
4.793,1236.989,206.735,-36.796
4.803,1239.055,206.367,-36.778
4.813,1241.117,206,-36.761
4.823,1243.175,205.632,-36.745
4.833,1245.229,205.265,-36.729
4.843,1247.28,204.898,-36.714
4.853,1249.327,204.53,-36.699
4.863,1251.371,204.164,-36.685
4.873,1253.411,203.797,-36.672
4.883,1255.447,203.43,-36.659
4.893,1257.479,203.064,-36.646
4.903,1259.508,202.697,-36.634
4.913,1261.533,202.331,-36.623
4.923,1263.555,201.965,-36.612
4.933,1265.573,201.599,-36.601
4.943,1267.587,201.233,-36.591
4.953,1269.597,200.867,-36.58
4.963,1271.604,200.501,-36.571
4.973,1273.607,200.135,-36.561
4.983,1275.607,199.77,-36.551
4.993,1277.603,199.404,-36.542
5.003,1279.595,199.039,-36.533
5.013,1281.583,198.674,-36.524
5.023,1283.568,198.309,-36.514
5.033,1285.55,197.943,-36.505
5.043,1287.527,197.578,-36.496
5.053,1289.501,197.214,-36.486
5.063,1291.471,196.849,-36.476
5.073,1293.438,196.484,-36.466
5.083,1295.401,196.119,-36.456
5.093,1297.36,195.755,-36.445
5.103,1299.316,195.391,-36.434
5.113,1301.268,195.026,-36.423
5.123,1303.217,194.662,-36.411
5.133,1305.162,194.298,-36.398
5.143,1307.103,193.934,-36.385
5.153,1309.04,193.57,-36.372
5.163,1310.974,193.207,-36.357
5.173,1312.904,192.843,-36.343
5.183,1314.831,192.48,-36.327
5.193,1316.754,192.117,-36.311
5.203,1318.673,191.754,-36.295
5.213,1320.589,191.391,-36.277
5.223,1322.501,191.028,-36.26
5.233,1324.41,190.666,-36.242
5.243,1326.314,190.303,-36.223
5.253,1328.216,189.941,-36.204
5.263,1330.113,189.579,-36.184
5.273,1332.007,189.217,-36.164
5.283,1333.898,188.856,-36.143
5.293,1335.784,188.495,-36.123
5.303,1337.667,188.133,-36.102
5.313,1339.547,187.773,-36.081
5.323,1341.423,187.412,-36.059
5.333,1343.295,187.051,-36.038
5.343,1345.164,186.691,-36.016
5.353,1347.029,186.331,-35.995
5.363,1348.891,185.971,-35.973
5.373,1350.749,185.612,-35.952
5.383,1352.603,185.252,-35.93
5.393,1354.454,184.893,-35.909
5.403,1356.301,184.534,-35.888
5.413,1358.144,184.175,-35.867
5.423,1359.984,183.817,-35.846
5.433,1361.821,183.458,-35.825
5.443,1363.653,183.1,-35.805
5.453,1365.483,182.742,-35.785
5.463,1367.308,182.384,-35.765
5.473,1369.13,182.027,-35.745
5.483,1370.949,181.67,-35.726
5.493,1372.764,181.312,-35.707
5.503,1374.575,180.955,-35.689
5.513,1376.383,180.599,-35.671
5.523,1378.187,180.242,-35.653
5.533,1379.988,179.886,-35.636
5.543,1381.785,179.529,-35.619
5.553,1383.578,179.173,-35.602
5.563,1385.368,178.817,-35.586
5.573,1387.155,178.461,-35.57
5.583,1388.937,178.106,-35.555
5.593,1390.717,177.75,-35.54
5.603,1392.492,177.395,-35.525
5.613,1394.265,177.04,-35.511
5.623,1396.033,176.685,-35.497
5.633,1397.798,176.33,-35.484
5.643,1399.56,175.975,-35.471
5.653,1401.318,175.62,-35.458
5.663,1403.072,175.266,-35.446
5.673,1404.823,174.912,-35.434
5.683,1406.57,174.557,-35.422
5.693,1408.314,174.203,-35.411
5.703,1410.054,173.849,-35.4
5.713,1411.791,173.495,-35.389
5.723,1413.524,173.141,-35.378
5.733,1415.254,172.788,-35.368
5.743,1416.98,172.434,-35.358
5.753,1418.703,172.08,-35.349
5.763,1420.422,171.727,-35.339
5.773,1422.137,171.374,-35.33
5.783,1423.849,171.02,-35.321
5.793,1425.558,170.667,-35.312
5.803,1427.263,170.314,-35.303
5.813,1428.964,169.961,-35.294
5.823,1430.662,169.608,-35.285
5.833,1432.356,169.255,-35.277
5.843,1434.047,168.903,-35.268
5.853,1435.734,168.55,-35.26
5.863,1437.418,168.198,-35.251
5.873,1439.098,167.845,-35.242
5.883,1440.775,167.493,-35.234
5.893,1442.448,167.14,-35.225
5.903,1444.118,166.788,-35.216
5.913,1445.784,166.436,-35.207
5.923,1447.446,166.084,-35.199
5.933,1449.105,165.732,-35.189
5.943,1450.761,165.38,-35.18
5.953,1452.413,165.028,-35.171
5.963,1454.062,164.677,-35.161
5.973,1455.707,164.325,-35.151
5.983,1457.348,163.974,-35.141
5.993,1458.986,163.622,-35.13
6.003,1460.62,163.271,-35.119
6.013,1462.251,162.92,-35.109
6.023,1463.879,162.569,-35.097
6.033,1465.503,162.218,-35.086
6.043,1467.123,161.867,-35.074
6.053,1468.74,161.517,-35.062
6.063,1470.354,161.166,-35.049
6.073,1471.963,160.816,-35.036
6.083,1473.57,160.465,-35.023
6.093,1475.173,160.115,-35.01
6.103,1476.772,159.765,-34.996
6.113,1478.368,159.415,-34.983
6.123,1479.96,159.066,-34.969
6.133,1481.549,158.716,-34.954
6.143,1483.135,158.366,-34.94
6.153,1484.717,158.017,-34.925
6.163,1486.295,157.668,-34.91
6.173,1487.87,157.319,-34.895
6.183,1489.442,156.97,-34.879
6.193,1491.009,156.621,-34.864
6.203,1492.574,156.273,-34.849
6.213,1494.135,155.924,-34.833
6.223,1495.692,155.576,-34.817
6.233,1497.246,155.228,-34.801
6.243,1498.797,154.88,-34.786
6.253,1500.344,154.532,-34.77
6.263,1501.888,154.185,-34.754
6.273,1503.428,153.837,-34.738
6.283,1504.964,153.49,-34.722
6.293,1506.498,153.143,-34.707
6.303,1508.027,152.796,-34.691
6.313,1509.553,152.449,-34.675
6.323,1511.076,152.102,-34.66
6.333,1512.596,151.756,-34.644
6.343,1514.111,151.409,-34.629
6.353,1515.624,151.063,-34.614
6.363,1517.133,150.717,-34.599
6.373,1518.638,150.371,-34.584
6.383,1520.14,150.025,-34.569
6.393,1521.639,149.68,-34.554
6.403,1523.134,149.334,-34.54
6.413,1524.625,148.989,-34.526
6.423,1526.113,148.644,-34.511
6.433,1527.598,148.299,-34.498
6.443,1529.079,147.954,-34.484
6.453,1530.557,147.609,-34.47
6.463,1532.032,147.264,-34.457
6.473,1533.502,146.92,-34.444
6.483,1534.97,146.576,-34.431
6.493,1536.434,146.231,-34.418
6.503,1537.895,145.887,-34.406
6.513,1539.352,145.543,-34.394
6.523,1540.805,145.199,-34.381
6.533,1542.256,144.856,-34.37
6.543,1543.703,144.512,-34.358
6.553,1545.146,144.168,-34.347
6.563,1546.586,143.825,-34.335
6.573,1548.022,143.482,-34.324
6.583,1549.456,143.139,-34.314
6.593,1550.885,142.795,-34.303
6.603,1552.311,142.452,-34.293
6.613,1553.734,142.11,-34.283
6.623,1555.154,141.767,-34.273
6.633,1556.57,141.424,-34.263
6.643,1557.982,141.082,-34.253
6.653,1559.391,140.739,-34.244
6.663,1560.797,140.397,-34.235
6.673,1562.199,140.054,-34.226
6.683,1563.598,139.712,-34.217
6.693,1564.993,139.37,-34.208
6.703,1566.385,139.028,-34.199
6.713,1567.774,138.686,-34.191
6.723,1569.159,138.344,-34.183
6.733,1570.541,138.002,-34.175
6.743,1571.919,137.661,-34.166
6.753,1573.294,137.319,-34.159
6.763,1574.666,136.978,-34.151
6.773,1576.034,136.636,-34.143
6.783,1577.398,136.295,-34.135
6.793,1578.76,135.953,-34.128
6.803,1580.117,135.612,-34.12
6.813,1581.472,135.271,-34.113
6.823,1582.823,134.93,-34.105
6.833,1584.17,134.589,-34.098
6.843,1585.515,134.248,-34.091
6.853,1586.855,133.907,-34.084
6.863,1588.193,133.566,-34.076
6.873,1589.527,133.226,-34.069
6.883,1590.857,132.885,-34.062
6.893,1592.184,132.544,-34.055
6.903,1593.508,132.204,-34.047
6.913,1594.828,131.863,-34.04
6.923,1596.145,131.523,-34.033
6.933,1597.459,131.183,-34.026
6.943,1598.769,130.842,-34.018
6.953,1600.076,130.502,-34.011
6.963,1601.379,130.162,-34.003
6.973,1602.679,129.822,-33.996
6.983,1603.976,129.482,-33.988
6.993,1605.269,129.142,-33.981
7.003,1606.558,128.803,-33.973
7.013,1607.845,128.463,-33.965
7.023,1609.128,128.123,-33.957
7.033,1610.407,127.784,-33.949
7.043,1611.683,127.444,-33.941
7.053,1612.956,127.105,-33.933
7.063,1614.225,126.766,-33.925
7.073,1615.491,126.427,-33.917
7.083,1616.754,126.087,-33.908
7.093,1618.013,125.748,-33.9
7.103,1619.269,125.409,-33.891
7.113,1620.521,125.071,-33.882
7.123,1621.77,124.732,-33.873
7.133,1623.016,124.393,-33.864
7.143,1624.258,124.054,-33.855
7.153,1625.497,123.716,-33.846
7.163,1626.733,123.378,-33.836
7.173,1627.965,123.039,-33.827
7.183,1629.193,122.701,-33.817
7.193,1630.419,122.363,-33.808
7.203,1631.641,122.025,-33.798
7.213,1632.859,121.687,-33.788
7.223,1634.074,121.349,-33.778
7.233,1635.286,121.011,-33.768
7.243,1636.495,120.674,-33.758
7.253,1637.7,120.336,-33.748
7.263,1638.901,119.999,-33.738
7.273,1640.1,119.661,-33.727
7.283,1641.294,119.324,-33.717
7.293,1642.486,118.987,-33.707
7.303,1643.674,118.65,-33.696
7.313,1644.859,118.313,-33.686
7.323,1646.04,117.976,-33.675
7.333,1647.219,117.64,-33.665
7.343,1648.393,117.303,-33.654
7.353,1649.565,116.967,-33.643
7.363,1650.733,116.63,-33.633
7.373,1651.897,116.294,-33.622
7.383,1653.058,115.958,-33.612
7.393,1654.216,115.622,-33.601
7.403,1655.371,115.286,-33.591
7.413,1656.522,114.95,-33.58
7.423,1657.67,114.614,-33.57
7.433,1658.814,114.279,-33.559
7.443,1659.955,113.943,-33.549
7.453,1661.093,113.608,-33.538
7.463,1662.228,113.272,-33.528
7.473,1663.359,112.937,-33.518
7.483,1664.486,112.602,-33.507
7.493,1665.611,112.267,-33.497
7.503,1666.732,111.932,-33.487
7.513,1667.849,111.597,-33.477
7.523,1668.964,111.262,-33.467
7.533,1670.075,110.928,-33.457
7.543,1671.182,110.593,-33.447
7.553,1672.286,110.259,-33.437
7.563,1673.387,109.925,-33.427
7.573,1674.485,109.59,-33.417
7.583,1675.579,109.256,-33.408
7.593,1676.67,108.922,-33.398
7.603,1677.758,108.588,-33.389
7.613,1678.842,108.254,-33.379
7.623,1679.923,107.921,-33.37
7.633,1681,107.587,-33.361
7.643,1682.074,107.253,-33.352
7.653,1683.145,106.92,-33.343
7.663,1684.213,106.587,-33.334
7.673,1685.277,106.253,-33.325
7.683,1686.338,105.92,-33.316
7.693,1687.395,105.587,-33.307
7.703,1688.45,105.254,-33.299
7.713,1689.501,104.921,-33.29
7.723,1690.548,104.588,-33.282
7.733,1691.592,104.255,-33.274
7.743,1692.633,103.923,-33.266
7.753,1693.671,103.59,-33.257
7.763,1694.705,103.257,-33.249
7.773,1695.736,102.925,-33.242
